,Activity,Status,Remarks,Blocker,Proposed Resolution,Comments- DEV Team,Comments - Functional Team
S1,Restore UI theme provided,Not Started,,,,,
,Customize UI theme with  reference Figma Files,Not Started,,,,,
,Reference to the Documents and create UI ,Not Started,,,,,
,Touchbase with business team ,Not Started,,,,,
,login/Landing Page- O-Auth setup,Not Started,,,,,
,Deployment Environment Setup,Not Started,,,,,
,,,,,,,
,,,,,,,
S2,Email notifications settings,Not Started,,,,,
,"User management, Org Management  and security setup",Not Started,,,,,
,Superadmin Dashboards layout,Not Started,,,,,
,Admin dashboard layout,Not Started,,,,,
,Modules layout and access mechanism,Not Started,,,,,
,Testing/Touchbase with business team ,Not Started,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
S3,Reports Folder in UI ,Not Started,,,,,
,Refer to GRI framework for sample reports,Not Started,,,,,
,Global search/search with parameters features,Not Started,,,,,
,PIck on industry domain to develop ,Not Started,,,,,
,"Use the sample data provided or use your own data, provide data source",Not Started,,,,,
,Notifications settings for any new uploaded document,Not Started,,,,,
,,,,,,,
,,,,,,,
S4,Task Flow design,Not Started,,,,,
,Add reviewers / approvers,Not Started,,,,,
,Send emails for each new assigned tasks,Not Started,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
S8,Production environment go live,Not Started,,,,,
,Post production testing and hypercare,Not Started,,,,,
,Monitring and system tasks listing,Not Started,,,,,
,High level Architecture document ,Not Started,,,,,
